Site_ID,Year,Season,Start_Date,End_Date
HBK,2017,Leaf,2017-05-04,2017-10-11
W1,2017,Leaf,2017-05-04,2017-10-11
W2,2017,Leaf,2017-05-04,2017-10-11
W3,2017,Leaf,2017-05-04,2017-10-11
W4,2017,Leaf,2017-05-04,2017-10-11
W5,2017,Leaf,2017-05-04,2017-10-11
W6,2017,Leaf,2017-05-04,2017-10-11
W9,2017,Leaf,2017-05-04,2017-10-11
HBK,2017,Cooling,2017-10-11,2017-12-11
W1,2017,Cooling,2017-10-11,2017-12-11
W2,2017,Cooling,2017-10-11,2017-12-11
W3,2017,Cooling,2017-10-11,2017-12-11
W4,2017,Cooling,2017-10-11,2017-12-11
W5,2017,Cooling,2017-10-11,2017-12-11
W6,2017,Cooling,2017-10-11,2017-12-11
W9,2017,Cooling,2017-10-11,2017-12-11
W5,2017,Snow,2017-12-11,2018-02-12
W2,2017,Snow,2017-12-11,2018-02-16
W3,2017,Snow,2017-12-11,2018-02-16
W1,2017,Snow,2017-12-11,2018-02-17
HBK,2017,Snow,2017-12-11,2018-02-18
W9,2017,Snow,2017-12-11,2018-03-03
W4,2017,Snow,2017-12-11,2018-03-09
W6,2017,Snow,2017-12-11,2018-03-29
HBK,2018,Warming,2018-02-18,2018-04-26
W1,2018,Warming,2018-02-17,2018-04-26
W2,2018,Warming,2018-02-16,2018-04-26
W3,2018,Warming,2018-02-16,2018-04-26
W4,2018,Warming,2018-03-09,2018-04-26
W5,2018,Warming,2018-02-12,2018-04-26
W6,2018,Warming,2018-03-29,2018-04-26
W9,2018,Warming,2018-03-03,2018-04-26
W6,2018,Warming to Peak,2018-03-29,2018-05-14
W2,2018,Warming to Peak,2018-02-16,2018-05-29
W3,2018,Warming to Peak,2018-02-16,2018-05-29
W4,2018,Warming to Peak,2018-03-09,2018-05-29
W5,2018,Warming to Peak,2018-02-12,2018-06-04
W1,2018,Warming to Peak,2018-02-17,2018-06-11
W9,2018,Warming to Peak,2018-03-03,2018-06-18
HBK,2018,Warming to Peak,2018-02-18,2018-07-16
HBK,2018,Leaf,2018-04-26,2018-10-25
W1,2018,Leaf,2018-04-26,2018-10-25
W2,2018,Leaf,2018-04-26,2018-10-25
W3,2018,Leaf,2018-04-26,2018-10-25
W4,2018,Leaf,2018-04-26,2018-10-25
W5,2018,Leaf,2018-04-26,2018-10-25
W6,2018,Leaf,2018-04-26,2018-10-25
W9,2018,Leaf,2018-04-26,2018-10-25
HBK,2018,Cooling,2018-10-25,2018-11-19
W1,2018,Cooling,2018-10-25,2018-11-19
W2,2018,Cooling,2018-10-25,2018-11-19
W3,2018,Cooling,2018-10-25,2018-11-19
W4,2018,Cooling,2018-10-25,2018-11-19
W5,2018,Cooling,2018-10-25,2018-11-19
W6,2018,Cooling,2018-10-25,2018-11-19
W9,2018,Cooling,2018-10-25,2018-11-19
W9,2018,Snow,2018-11-19,2019-02-10
HBK,2018,Snow,2018-11-19,2019-02-12
W2,2018,Snow,2018-11-19,2019-03-19
W3,2018,Snow,2018-11-19,2019-03-19
W1,2018,Snow,2018-11-19,2019-03-28
W4,2018,Snow,2018-11-19,2019-03-29
W5,2018,Snow,2018-11-19,2019-03-29
W6,2018,Snow,2018-11-19,2019-03-29
HBK,2019,Warming,2019-02-12,2019-05-06
W1,2019,Warming,2019-03-28,2019-05-06
W2,2019,Warming,2019-03-19,2019-05-06
W3,2019,Warming,2019-03-19,2019-05-06
W4,2019,Warming,2019-03-29,2019-05-06
W5,2019,Warming,2019-03-29,2019-05-06
W6,2019,Warming,2019-03-29,2019-05-06
W9,2019,Warming,2019-02-10,2019-05-06
W2,2019,Warming to Peak,2019-03-19,2019-05-20
W6,2019,Warming to Peak,2019-03-29,2019-05-20
W1,2019,Warming to Peak,2019-03-28,2019-05-28
W4,2019,Warming to Peak,2019-03-29,2019-05-28
W5,2019,Warming to Peak,2019-03-29,2019-05-28
HBK,2019,Warming to Peak,2019-02-12,2019-06-10
W3,2019,Warming to Peak,2019-03-19,2019-06-10
W9,2019,Warming to Peak,2019-02-10,2019-06-24
HBK,2019,Leaf,2019-05-06,2019-11-04
W1,2019,Leaf,2019-05-06,2019-11-04
W2,2019,Leaf,2019-05-06,2019-11-04
W3,2019,Leaf,2019-05-06,2019-11-04
W4,2019,Leaf,2019-05-06,2019-11-04
W5,2019,Leaf,2019-05-06,2019-11-04
W6,2019,Leaf,2019-05-06,2019-11-04
W9,2019,Leaf,2019-05-06,2019-11-04
HBK,2019,Cooling,2019-11-04,2019-12-03
W1,2019,Cooling,2019-11-04,2019-12-03
W2,2019,Cooling,2019-11-04,2019-12-03
W3,2019,Cooling,2019-11-04,2019-12-03
W4,2019,Cooling,2019-11-04,2019-12-03
W5,2019,Cooling,2019-11-04,2019-12-03
W6,2019,Cooling,2019-11-04,2019-12-03
W9,2019,Cooling,2019-11-04,2019-12-03
W5,2019,Snow,2019-12-03,2020-02-24
W3,2019,Snow,2019-12-03,2020-03-03
W4,2019,Snow,2019-12-03,2020-03-03
W6,2019,Snow,2019-12-03,2020-03-03
HBK,2019,Snow,2019-12-03,2020-03-04
W1,2019,Snow,2019-12-03,2020-03-07
W2,2019,Snow,2019-12-03,2020-03-07
W9,2019,Snow,2019-12-03,2020-03-08
HBK,2020,Warming,2020-03-04,2020-05-17
W1,2020,Warming,2020-03-07,2020-05-17
W2,2020,Warming,2020-03-07,2020-05-17
W3,2020,Warming,2020-03-03,2020-05-17
W4,2020,Warming,2020-03-03,2020-05-17
W5,2020,Warming,2020-02-24,2020-05-17
W6,2020,Warming,2020-03-03,2020-05-17
W9,2020,Warming,2020-03-08,2020-05-17
W1,2020,Warming to Peak,2020-03-07,2020-05-26
W2,2020,Warming to Peak,2020-03-07,2020-05-26
W3,2020,Warming to Peak,2020-03-03,2020-05-26
W5,2020,Warming to Peak,2020-02-24,2020-05-26
W6,2020,Warming to Peak,2020-03-03,2020-05-28
W4,2020,Warming to Peak,2020-03-03,2020-06-01
W9,2020,Warming to Peak,2020-03-08,2020-06-22
HBK,2020,Leaf,2020-05-17,2020-11-16
HBK,2020,Warming to Peak,2020-03-04,2020-11-16
W1,2020,Leaf,2020-05-17,2020-11-16
W2,2020,Leaf,2020-05-17,2020-11-16
W3,2020,Leaf,2020-05-17,2020-11-16
W4,2020,Leaf,2020-05-17,2020-11-16
W5,2020,Leaf,2020-05-17,2020-11-16
W6,2020,Leaf,2020-05-17,2020-11-16
W9,2020,Leaf,2020-05-17,2020-11-16
HBK,2020,Cooling,2020-11-16,2020-12-07
W1,2020,Cooling,2020-11-16,2020-12-07
W2,2020,Cooling,2020-11-16,2020-12-07
W3,2020,Cooling,2020-11-16,2020-12-07
W4,2020,Cooling,2020-11-16,2020-12-07
W5,2020,Cooling,2020-11-16,2020-12-07
W6,2020,Cooling,2020-11-16,2020-12-07
W9,2020,Cooling,2020-11-16,2020-12-07
W1,2020,Snow,2020-12-07,2021-03-09
W5,2020,Snow,2020-12-07,2021-03-09
W6,2020,Snow,2020-12-07,2021-03-09
HBK,2020,Snow,2020-12-07,2021-05-02
W1,2021,Warming,2021-03-09,2021-05-02
W2,2020,Snow,2020-12-07,2021-05-02
W3,2020,Snow,2020-12-07,2021-05-02
W4,2020,Snow,2020-12-07,2021-05-02
W5,2021,Warming,2021-03-09,2021-05-02
W6,2021,Warming,2021-03-09,2021-05-02
W9,2020,Snow,2020-12-07,2021-05-02
W5,2021,Warming to Peak,2021-03-09,2021-05-17
W6,2021,Warming to Peak,2021-03-09,2021-05-17
W1,2021,Warming to Peak,2021-03-09,2021-06-21
HBK,2021,Leaf,2021-05-02,2021-10-13
W1,2021,Leaf,2021-05-02,2021-10-13
W2,2021,Leaf,2021-05-02,2021-10-13
W3,2021,Leaf,2021-05-02,2021-10-13
W4,2021,Leaf,2021-05-02,2021-10-13
W5,2021,Leaf,2021-05-02,2021-10-13
W6,2021,Leaf,2021-05-02,2021-10-13
W9,2021,Leaf,2021-05-02,2021-10-13
HBK,2021,Cooling,2021-10-13,2021-11-29
W1,2021,Cooling,2021-10-13,2021-11-29
W2,2021,Cooling,2021-10-13,2021-11-29
W3,2021,Cooling,2021-10-13,2021-11-29
W4,2021,Cooling,2021-10-13,2021-11-29
W5,2021,Cooling,2021-10-13,2021-11-29
W6,2021,Cooling,2021-10-13,2021-11-29
W9,2021,Cooling,2021-10-13,2021-11-29
W6,2021,Snow,2021-11-29,2022-02-17
HBK,2021,Snow,2021-11-29,2022-05-14
W1,2021,Snow,2021-11-29,2022-05-14
W2,2021,Snow,2021-11-29,2022-05-14
W3,2021,Snow,2021-11-29,2022-05-14
W4,2021,Snow,2021-11-29,2022-05-14
W5,2021,Snow,2021-11-29,2022-05-14
W6,2022,Warming,2022-02-17,2022-05-14
W9,2021,Snow,2021-11-29,2022-05-14
W6,2022,Warming to Peak,2022-02-17,2022-05-16
HBK,2022,Leaf,2022-05-14,2022-09-19
W1,2022,Leaf,2022-05-14,2022-09-19
W2,2022,Leaf,2022-05-14,2022-09-19
W3,2022,Leaf,2022-05-14,2022-09-19
W4,2022,Leaf,2022-05-14,2022-09-19
W5,2022,Leaf,2022-05-14,2022-09-19
W6,2022,Leaf,2022-05-14,2022-09-19
W9,2022,Leaf,2022-05-14,2022-09-19
HBK,2022,Cooling,2022-09-19,2022-11-29
W1,2022,Cooling,2022-09-19,2022-11-29
W2,2022,Cooling,2022-09-19,2022-11-29
W3,2022,Cooling,2022-09-19,2022-11-29
W4,2022,Cooling,2022-09-19,2022-11-29
W5,2022,Cooling,2022-09-19,2022-11-29
W6,2022,Cooling,2022-09-19,2022-11-29
W9,2022,Cooling,2022-09-19,2022-12-19
W6,2022,Snow,2022-11-29,2023-04-04
HBK,2022,Snow,2022-11-29,2023-04-30
W1,2022,Snow,2022-11-29,2023-04-30
W2,2022,Snow,2022-11-29,2023-04-30
W3,2022,Snow,2022-11-29,2023-04-30
W4,2022,Snow,2022-11-29,2023-04-30
W5,2022,Snow,2022-11-29,2023-04-30
W6,2023,Warming,2023-04-04,2023-04-30
